"id","name"
"1","Fosfato Diamonico"
"2","Urea Granulada"
"4","15-6-16-6 Consulp"
"5","15-15-15"
"6","15-6-15-6 Nitrato Doble"
"7","7-30-20 Arrocera"
"9","Harvest More Micro Granulado"
"120","15-6-15-4 BOLSA NITRODOBLE YARA"
"121","CLORURO DE POTASIO BOLSON BUNGE"
"122","CLORURO DE POTASIO GRANULADO BUNGE"
"124","DOLOMITA MALLA #80 BIGBAG CANTERAS SAN AGUSTIN"
"130","FOSFATO MONOAMONICO GRANEL LDC"
"8","Cloruro de Potasio"
"129","FOSFATO MONOAMONICO BUNGE"
"126","FOSFATO DIAMONICO BUNGE"
"133","HARVEST MORE PLUS 10-46-0-0.6 Zn"
"134","HARVEST MORE PLUS 10-46-0-0.6 Zn  - (FM)"
"123","CLORURO DE POTASIO "
"125","ENETOTAL "
"127","FOSFATO DIAMONICO"
"128","FOSFATO MONOAMONICO BOLSON"
"131","FOSFATO MONOAMONICO"
"132","HARVEST MORE 10-40-0 2 Zn - (FM)"
"135","MEZCLA 15-15-15 BOLSA BUNGE"
"137","MEZCLA 15-6-15-6 BOLSA BUNGE"
"140","MEZCLA 15-6-21 BOLSA  YARA"
"141","MEZCLA 19-19-19 BOLSA BUNGE"
"143","NITRO DOBLE BOLSA YARA"
"146","UREA GRANULADA 25 BUNGE"
"136","MEZCLA 15-15-15 BOLSA"
"138","MEZCLA 15-6-15-6 BOLSA"
"139","MEZCLA 15-6-15-6 C/SULPOMAG "
"142","MEZCLA 19-19-19 BOLSA"
"144","SULPOMAG"
"145","UAN 32% N "
"148","UREA GRANULADA"
"147","UREA GRANULADA BOLSON"
